reviewId,content
7c616a1c-e419-488b-bde7-890c3f31c384,Digital Talent ngk jelas.. Kenapa sih penerimaan sertifikat pelatihan nya lama sekali.. Yang offline hanya butuh menunggu sebulan untuk menerima sertifikat nya.. Sedangkan yang online butuh 4 bulan untuk mendapatkan sertifikat nya.. Di tambah benefit biaya komunikasi tidak diberikan sama sekali.. Kami para peserta pelatihan kualahan menunggu nya... Korupsi sekali kalian wahai Kominfo
be365fd7-2042-4d23-9633-c95c08f50f65,Trimksh untuk pelatihan nya.. Sangat bermanfaat.. Good job.. Digitalent.. ğŸ‘
c8f2870e-1a8a-44fc-b998-a25db5a4f61a,"Terima kasih kominfo melalui BPPTIK yang sudah menyelenggarakan pelatihan dan sertifikasi kompetensi, pelatihan yang ada semuanya menarik dan sejauh ini selama saya mengikuti pelatihan menurut saya pelatih dan assesor bagus dan memotivasi, kedepannya saya harap lebih banyak lagi jenis pelatihan di wilayah sumatera terkhusus kota bengkulu. Terima kasih"
6e5267d0-8702-49ae-9a55-646a938b82f8,Belum coba ... Karena yang saya siriti biasanya aplijasi penerintah rerata UI gak suppirt dark mofe / tema gelap
d55ffc5d-c703-483e-8b8c-907992375efc,Terima kasih Kominfo atas pelayanan dan pelatihannya untuk kami yang ingin selalu belajar dan mengembangkan diri terutama di bidang TIK.
b8498a59-7b69-4455-bda8-3faf5b5a54e2,"Lagi pelatihan FGA, pake absen scan qris tapi lambat skali. Error terus padahal bagus jaringan. Akhirnya tidak absen krna terlambat masuk. Mngkin krna banyak yg akses jadi lambat. Tolong di perbaiki"
28de9e91-22ca-4071-84d6-5eb5e79ba62a,Hallo min tong di perbaiki dong itu yg bagian pendaftaran terutama pada bagian pengisian asal perguruan tinggi itu formnya kurang responsif ada delaynya pas kita ketik. terimakasih semoga lebih baik lagiğŸ‘
4c93f7db-7106-4ca4-83a5-6047b1c66b0b,Sangat menarik Dan menambah wawasan
8ff4135d-7217-4c5d-8fc2-ec97bff88643,semoga aplikasinya dapat mengatasi bug dan berjalan dengan lancar
3849f36d-4a3a-4b46-8fc0-decce36859f9,Tolong buat menu histori/riwayat pelatihan yg pernah di ikuti dan tombol download e-sertifikat nya
20f2efca-26a0-4a97-85ee-d614681ce712,"Gak bisa login, masalah connection padahal jaringan bagus"
9bdeed96-bfc1-4225-9db0-ea5a0e258082,"Susah untuk Pengisian Form, Sudah Pilih Jenjang SMK/SMA Sederajat tapi Kok masih disuruh memasukkan Fakultas dan Asal Perguruan Tinggi?? Mau diisi apa??? Apalagi tidak bisa diklik SELANJUTNYA dan harus isi Fakultas dan asal Perguruan??? Ini gimana sihh... Ribet juga harus Buat File PDF Ijazah dan Transkrip Nilai, padahal pakai JPG harusnya Cukup dan ada keterangan PDF/JPG, tapi tidak bisa pakai JPG... Haduhh"
87fa3995-214b-4b50-83ed-44a99245aefb,"Aplikasi nya bikin hp saya error, volume naik turun ghoib, padahal volume hp nya tidak di pencet. Trus gabisa matikan daya karena aplikasi ini, akhirnya masuk ke mode discovery dan langsung hp saya aktifin mode safe mode. Intinya aplikasi ini bikin hp saya error dan gabisa berfungsi dengan normal. Pas saya hapus aplikasi ini tiba-tiba langsung lancar jaya hp saya dan gaada error volume naik turun secara ghoib. Intinya aplikasi ini belum optimal dan masih perlu perbaikan total."
e73e3572-b091-4095-b23a-5c3d5845598e,"Pengalaman di bilang teknik elektro, pernah belajar bahasa fortran. Selama ini selalu berhubungan dengan dunia elektro dan informatika. Karena dunia elektro dan informatika mengalami perkembangan sangat pesat dalam bidang teknologi terutama dalam bidang AT. Maka saya berkeinginan menambah pengetahuan dalam bidang AT Terutama perkembangan AI. Sebelum saya ucapkan terimakasih atas kesempatan bila dapat ikut dalam perkembangan AI."
8739832a-cb92-4fa4-aa60-3163487de602,"UI/UX nya sangat amat smooth, beda sekali dengan apk institusi yang lain. Sangat informatif juga."
670323cb-2781-4b95-8d3b-8165f3f8e212,Hai kak saya berharap digital kominfo juga memberikan pelatihan untuk Vocational School Graduate Academy Dengan jenis pelatihan yang sama seperti pada fresh graduate ya karna saya lihat banyak pelatihan ternama pada bagian freshgraduate seperti google AWS dll namun pada Vocational hanya sedikit dan terlalu banyak requirmentsnya padahal banyak dari lulusan tersebut yg membutuhkan course dari beberapa pelatihan ternama untuk dapat mencari kerja akan lebih baik jika diberikan akses ke kami juga...
36e15b8a-53b6-4a33-8310-196a8f7bffd3,Bintang satu dulu.. ada bug di galaxy j7 plus.. android versi 7.1.1. saat registrasi tahap kedua.. selalu error network.. akhirnya saya tidak bisa ikut bootcamp..
3445d32c-cb35-4e96-ac72-d6aa832aa69e,Sangat membantu untuk mendapatkan informasi beasiswa S2
dc08b136-2723-4f69-bf71-68d885edd275,"Mohon perbaiki bug untuk android lawas seperti android versi 5.0/6.0, saat masuk aplikasi hanya blank whitescreen dan tidak muncul-muncul konten."
1c2bc32f-5ed4-4360-b835-34ee696e37f6,"aplikasi bagus2 aja, sistemnya yg bobrok, 1. mau daftar pelatihan error, tertulis pelatihan belum selesai (tidak jelas kita udh selesai pelatihan sebelumnya tp butuh seminggu lebih buat update), 2. setelah itu muncul error kita tdk dpt mendaftar pelatihan yg sama (lah? perusahaannya sama tp temanya berbeda), 3. Tanya ke admin di WA, ""tidak bisa karena kebijakan perusahaan terkait"" kocak,,, pdhl perwakilan perusahaannya yg bilang langsung kalo BISA, di zoom/discord org dts tdk prnh muncul WKWKWK"
edb29994-30e3-417e-92ad-863c27c06e86,"Inspiratif, sangat bermanfaat sekali"
c013bd77-221c-4cd7-ad82-fd14fda743c2,Kegiatan ini sangat membatu kami para guru dalam meningkatkan kemapuan Pembelajaran di era digital
06278b7c-5a47-49ec-b7a7-eda55d8f53e0,"Pada tanggal 25 -30 September 2023 lalu di perpanjang sampai 1 Oktober di bukalah sebuah pendaftaran kegiatan pelatihan dari BPSDM Medan disitus resmi ini. Di Flayer kegiatan disediakan pula Gform Pendaftaran. Namun tidak ada satupun media untuk mengumumkan kelulusan. Dan teman saya di terima karna mendaftar menggunakan Gform, disitus resmi malah tidak ada. Saya kecewa sekali untuk apa aplikasi dibuat jika penyelenggara menerima pendaftaran dengan Gform saja, di apk ini juga gk ada info yg jelas"
34c2fc1e-cf71-45b4-afaa-9548e26bf416,"Saat login selalu gagal, padahal email dan password sudah benar. Bahkan sampai install aplikasi, kalo login di aplikasi bisa tapi di web tidak bisa. Loadingnya juga lama. Fitur ubah data diri juga cuma bisa ubah alamat, lalu buat apa fitur ubah data diri kalo gak bisa ganti yang lain?. Tolong segera diperbaiki."
d6c144bc-0437-4d21-856a-03b93e2cd781,Saya diminta update data setelah login tapi pada saat submit data dibilang NIK sudah terdaftar. Jadi sampai dengan sekarang saya gak bisa login dan gak tau harus komplain ke mana? Terima kasih.
8f488de0-c7f0-438e-8e69-7858009bf582,"Aplikasi & Website hanya bisa diakses melalui beberapa ISP saja, saya coba ping ke main domain kominfo.go.id aman tetapi ke sub domain digitalent rto. Semoga bisa cepat diperbaiki. Terimakasih"
59119027-e15c-499f-9760-a88bbec39fc5,Susah banget daftarnya padahal udah bener masukin kata sandi buat login tapi selalu di bilang salah. Udah dicoba juga ganti password abis tu di salin sekalian biar ngak salah tapi tetep aja ngak bisa
c2f1f5ef-7fbf-40ce-83a8-e3addbcb49f9,"Sangat Buruk Sekali, saat sya Memulai Tes Substansi malah error lalu muncul status Tes substansi selesai, mau nya apasih, app mobile gk guna situs web pun gk guna, ERRORRR TERUSS, developer emang gak guna jg"
0d09462b-b43e-491e-86e6-5d1124777111,"Aplikasinya masih banyak bug, dan tidak sesuai dengan perkataan, yaitu tidak dilengkapi notifikasi ketika dibukakan absen"
3f52ddda-1038-42e9-ae38-0afb13853a32,"Fiturnya sedikit, fungsinya kurang, tampilan kurang lengkap masih mending buka pakai web browser"
cb60e497-6000-4b8c-940a-b0046a81bb0c,"Berharap dengan adanya Maintenance Sistem akan memperbaiki sistem dengan lebih baik lagi. Seperti mengurangi bug, mengoptimalkan sistem ketika berjalan/digunakan, dan meningkatkan kualitas keamanan untuk menjaga ke-privasian data pengguna (user)"
d0d57237-d2cf-43e8-bb2a-24b03dd645a2,"Update tentang lulus tidaknya terlalu lama, jadi di email tidak lulus tapi di aplikasi masih proses seharusnya lebih on time pengumuman dengan updatenya berharap diperbaiki ."
377b975e-4c01-4adb-8a73-66dca19e7298,Masih Perlu Banyak Perbaikan... Jika Ingin diterapkan ada baiknya di cek apakah kapasitas server sudah mumpuni agar tidak terjadi error load server saat sosialisasi ğŸ‘
7e4283d3-1237-44b0-a62e-26c64a071281,Tolong diperbaki untuk ver. Android 5.0 ada kendala tidak bisa masuk ke menu tampilan. stuck blackscreen/whitescreen
1dc7bf7c-b335-41c1-80b6-de13728a11eb,"Alhamdulillah, terbantu dengan aplikasi ini untuk pelatihan dan dapat kesempatan bekerja di mitra yang menyelenggarakan pelatihan. Lanjutkan dan tingkatkan!!, good job"
d58034e1-d482-4526-96ce-f257b86c8e73,Aplikasi mudah digunakan dan informasi selalu updateğŸ‘ğŸ‘
02657a11-dcd3-4c21-a460-8be33c4030df,"sesimpel memperhatikan kestabilan aplikasi sudah sangat mantap apalagi dikasih tampilan yang menarik, makasihğŸ˜‰"
928028b1-ed95-49da-ad72-d4f532d52afd,"Mantap ,langsung bisa di gunakan aplikasinya ,banyak sekali info pelatihan, dan workshop yg berguna untuk menambah ilmu dan wawasan"
c26ba012-762c-4afa-8900-979b1b7e3c12,Aplikasi yg berikan wawasan dalam pelatihan ilmu digital dalam tingkatkan SDM dengan baik dari Kominfo
477d2c57-56ee-4b62-867b-1f9d6c7f1b0f,"Semoga terus berkembang, dan menjadi kepercayaan jujur dan adil, secara terbuka dan transparan, tanpa ada unsur korupsi, sebagai wadah pembuka lapangan kerja dan education demi anak anak bangsa yang ingin berkarya,.."
44da9e6d-4732-4560-80e2-34491b7decab,Menjadi sesuatu yang brhrga di era digital 5.0 skrng
fd911a83-b5bf-4f4a-817a-85517e7d8831,"Terimakasih utk pelatihannya, sangat bermanfaat dan sesuai kebutuhan saat ini"
bd6d71d9-42f5-4a0b-b347-6e331f0f50cc,Banyak pelatihan yang membantu UMKM dan guru yang dilaksanakan
ab917cb0-9300-42d3-acd7-5c0fb75dd803,Mantap semoga bermanfaat buat saya
0330e583-f5c1-436f-a427-c42e55ae9303,Kenapa ya kalau aplikasi plat merah pasti ada aja kendalanya. Dari aplikasi disuruh reset kata sandi tapi malah error terus
8e140ed4-2a83-4ecb-896e-2e67f05690d4,untuk pelatihan sangat bagus tetapi untuk aplikasi terkadang eror pas mau daftar
1cdf6047-7545-4cd7-a11b-03cab0686d48,"ok bgt, maju terus Kominfo, Indonesia genius digital"
ac1dbbfa-fddd-4b9a-8959-18d63f53734e,"Kayaknya ga support di versi hp saya ni atau emang lagi error' ya gabisa dibuka, semoga lebih baik lagi aplikasi nya dan kalo bisa dapat diakses semua versi android"
27ca6943-5926-4e2b-8f46-64b1d0b2c1b7,Harusnya yg tidak lolos administrasi atau ujian pas masuk pelatihan jangan dibilang tidak lulus...karna kata tidak lulus agak terasa menyakitkan... kan lulus hanya untuk yg selesai menyelesaikan pembelajaran...
706ebcc9-490f-4867-bd29-969a18f64e22,"semoga bisa diperhatikan lagi case untuk mendaftar lagi setelah dinyatakan selesai masih belum berjalan baik. di home tertulis 0 proses, namun saat mendaftar tertera masih ada pelatihan belum selesai"
1f006880-7177-4ef3-8a8e-79c524db3ebc,"Kenapa aplikasi mobile atau website ketika register akun, kode otp tidak terkirim di email? Sudah beberapa kali saya ganti email tetap saja tidak masuk kode otpnya.."
ece1e779-5d1c-4c9d-90d0-df39ac77e8d0,"Alhamdulillah dapat link info ini dari teman hidup saya, dulu pernah ikut tapi hanya sebatas sosis terkait cakap digital; ternyata di dalamnya ada LMS dan segudang pelatihan, yng bisa dijadikan batu loncatan pekerjaan bagi yang membutuhkan, sehingga dapat lanjut ke Profesionalitas yang diinginkannya. okay... lanjutkan dan jangan lupa berbagi PULSA atau giveaway lainnya yaa min...."
90d72811-600a-4c29-84da-5029f6361045,"Jangan APK doang yang dibenerin, tuh web ,masak baru tekan tes substansi langsung tulisan telah dikerjakan disilang malah tulisan selesai, kalo krja yang bener lah"
2557c291-cf57-40d1-977f-8d4fa422fd53,"Sangat mmebantu, sangat baik, semoga kedepannya bisa lebih baik lagi dan fitur kemampuan aplikasi semoga semakin lengkap sesuai dengan masyarakat indonesia"
3dbe2d0a-92b0-4cbb-b46e-8f82a39f2c0f,"Eror aja terus, periksa koneksi periksa koneksi. Benerin dulu aplikasinya jangan nyalahin koneksi"
303bbe63-5128-42f0-9cb5-01209ba3b155,"Pengisian survey tidak bisa di skip, mengganggu. Sertifikat g bisa didownload setelah lewat 3 bulan"
9b18c196-fa2b-4ba6-b0cf-564ef9530a7d,"Sangat baik, terus semangat untuk memberi yang terbaik di bidang digitalisasi.."
f9f9c7d9-6c7a-46c3-bf83-2edfbe0ebe66,Aplikasinya bagus tapi hanya untuk orang yang punya ijazah sedangkan yang gak punya ijazah gak ada pelatihannya
6ff505a7-8386-46bd-8f60-a31b12af7b3a,"Sangat disarankan,materi yang disampaikan sangatlah bermanfaat bagi pelaku umkm dan masyarakat"
5a05a819-e0ef-4136-9a53-7959d3ea7e1a,Sangat membantu
723c97b6-d707-416e-8b63-5277eeb02210,aplikasi yg bagus buat menambah ilmu kita dibidang digital selain itu ada banyak pelatihan yg jadi rekomendasi
51f78f84-9164-4ecc-8919-d6fff37821cc,Keren ğŸ‘ğŸ» Kominfo memberi sarana prasarana agar UMKM di Indonesia maju dan berkembang ğŸ‘ŒğŸ»ğŸ¤—
39c229e1-7e85-4eba-907f-7f589b8ffc44,Program pelatihan yang sangat menarik yang digagas langsung oleh kaum di semoga aplikasi ini bermanfaat bagi seluruh warga Republik Indonesia
2c564f46-defc-41b2-9b5b-c9a3c32667de,Aplikasi nggak bisa dibuka. Sebelum lounching mungkin perlu observasi dulu.
17d42b75-0c00-40f2-85e5-332233c9e030,"Semoga dengan adanya apl digitalent mobile bermanfaat untuk belajar, menambah wawasan, pengetahuan terutama solusi mencari suplayer dan mencari banyaknya customer dan semakin berkembang usaha dan bertambah omset / pendapatan."
32436871-882a-43c5-b69b-529288a1a4bd,Tolong di perbaiki yang untuk bagian domisili untuk pengisian kecamatan dan selanjutnya tidak ada pilihannya hadi tidak bisa melanjutkan pengisian pendaftarannya
ceaf271a-6032-4253-a72e-8852b1236d5c,"baru aja bikin akun dan udah verifikasi, tapi pas login email dan password salah terus, saya sudah bener bener ngetik email dan passnya. mohon jawabannya"
b4b01933-e0d3-466f-857a-28b1e1457435,Cukup bermanfaat sebagai media dan sarana penyelenggaraan pendidikan serta latihan di era digital
d1a524da-7e3e-4046-b130-2bf41dd84861,"Banyak bug nya, sering logout sendiri dan request time out, saya harap dapat diperbaiki"
a1f0f476-7510-4ff7-ac3c-b18384d2ce59,"Aplikasi sampah, mau login ja susah.masa email/password salah melulu..."
ae33d210-ae96-4844-b613-88b5211a2f44,Aplikasi nya di handphone saya tidak bisa login alias error Handphone saya Xiaomi Redmi note 4 Kenapa ya pak?
b661f2e9-5a94-4b22-a84f-2603cf237081,"Sebenernya nggak terlalu berharap si, cuma lucu aja apk pelatihan tapi pelatihannya nggak ada sama sekali."
ccc2d6b9-67ac-465b-82c7-99abbc407297,"semoga makin berkembang dan dapat mengembangkan terus skill dan jenjang karier pengguna nya, aamiin."
65b13951-687f-467d-8ff5-8d47554b0a08,Semakin maju. Nanti ajak juga aplikasi lah basis dan bisa yg begini. Jadi lebih mudah dipahami
e2f284f0-7539-498d-96c3-ecd2c20c2e9a,"Kinerja aplikasi sangat buruk, buka tutup menu sangat lemot"
f46d1468-2275-4140-865a-d4c8cf785547,"Bagus dan keren ,bermanfaat untuk generasi masa kini untuk mengikuti pelatihan yg di minat"
99eaf15b-a81b-415c-93cb-155f83c379e1,"login gabisa, bisa login nanti logout sendiri karena sesi habis"
737ae58d-85ff-4282-b272-ab2787df001d,"Mantap, bisa pelatihan gratis dengan kemajuan teknologi yang semakin maju"
21335609-79f4-448d-a09d-fbe8a1d4020c,Sangat baik dlm pengimplemtasikan pembelajaran melalui digital
41ac40e5-2ecb-4a01-849a-2c7074bba699,Infonya uptodate! Jadi makin terbantu kita dalam mencari pelatihan
3b2007ce-fe7e-4fb9-a110-f5ab39903848,"Gabisa masuk. Padahal baru aja daftar. Keterangannya ""email atau password salah"" mulu"
346f089d-5f15-40ad-826d-da7f03bae6c3,Untuk server dan fitur fiturnya tolong diperhatikan lagi
a0c16f45-a5ab-4cb5-815a-fbb2ee38ee99,"duh padahal masih SMK blum lulus mau ikut ga bisa wkwk,sayang bgt padahal mau belajar jugağŸ˜¬"
543eb26f-8b51-4168-b929-9efd15c3a0bb,"Aplikasi kocak, bug nya banyak banget ini project managernya kek mana bisa lolos big gini bnyaknya"
8552c196-cf0b-448a-9007-c0c13bcda550,"Gagal daftar berkali-kali gara-gara gabisa ganti domilisi, padahal di keterangannya bisa ganti dom 2x dalam sebulan."
1705fdac-36da-4e46-95b8-0b2a0d1a51e4,tolong lah diperbaiki buat daftar aja milih universitas loadingnya lama pada jaringan lancar. leg waktu milih data universitas
0df03c04-e05c-4048-bd1b-7a55c6eea42c,"Crash turus, aplikasi jelek, jelek gini dapat 4,8 ada sudah logging app terburukğŸ‘ğŸ‘ğŸ‘ğŸ‘"
b3135ff6-2b48-4268-9fc4-067a17702099,Susah sekali daftar banyak salah sandi. Padahal udah bener.. capekkk daftar nya
